loss_rate,yield,w_A,w_B,w_C,w_D,w_E,w_F,w_G
0.02496499751217705,0.07971675445583218,0.7435,0.2565,0.0,0.0,0.0,0.0,0.0
0.028577571908710502,0.09179515775004292,0.4115,0.5885,0.0,0.0,0.0,0.0,0.0
0.03219014630524396,0.10387356104425366,0.0794,0.9206,0.0,0.0,0.0,0.0,0.0
0.03580272070177741,0.11271397632842153,0.0,0.8366,0.1634,0.0,0.0,0.0,0.0
0.03941529509831086,0.12053644214506516,0.0,0.6218,0.3782,0.0,0.0,0.0,0.0
0.043027869494844315,0.1283589079617088,0.0,0.407,0.593,0.0,0.0,0.0,0.0
0.04664044389137777,0.1361813737783524,0.0,0.1922,0.8078,0.0,0.0,0.0,0.0
0.050253018287911226,0.1437575201397766,0.0,0.0,0.9871,0.0129,0.0,0.0,0.0
0.05386559268444468,0.14923654508719042,0.0,0.0,0.8648,0.1352,0.0,0.0,0.0
0.05747816708097813,0.1547155700346042,0.0,0.0,0.7425,0.2575,0.0,0.0,0.0
0.06109074147751158,0.160194594982018,0.0,0.0,0.6201,0.3799,0.0,0.0,0.0
0.06470331587404504,0.1656736199294318,0.0,0.0,0.4978,0.5022,0.0,0.0,0.0
0.0683158902705785,0.17115264487684562,0.0,0.0,0.3755,0.6245,0.0,0.0,0.0
0.07192846466711195,0.17663166982425937,0.0,0.0,0.2531,0.7469,0.0,0.0,0.0
0.0755410390636454,0.1821106947716732,0.0,0.0,0.1308,0.8692,0.0,0.0,0.0
0.07915361346017885,0.187589719719087,0.0,0.0,0.0085,0.9915,0.0,0.0,0.0
0.0827661878567123,0.1916518238102883,0.0,0.0,0.0,0.9181,0.0819,0.0,0.0
0.08637876225324576,0.19560875395952715,0.0,0.0,0.0,0.8301,0.1699,0.0,0.0
0.08999133664977921,0.199565684108766,0.0,0.0,0.0,0.7422,0.2578,0.0,0.0
0.09360391104631266,0.20352261425800489,0.0,0.0,0.0,0.6542,0.3458,0.0,0.0
0.09721648544284611,0.2074795444072437,0.0,0.0,0.0,0.5662,0.4338,0.0,0.0
0.10082905983937956,0.21143647455648257,0.0,0.0,0.0,0.4782,0.5218,0.0,0.0
0.10444163423591302,0.21539340470572138,0.0,0.0,0.0,0.3903,0.6097,0.0,0.0
0.10805420863244647,0.21935033485496022,0.0,0.0,0.0,0.3023,0.6977,0.0,0.0
0.11166678302897992,0.22330726500419912,0.0,0.0,0.0,0.2143,0.7857,0.0,0.0
0.1152793574255134,0.22726419515343793,0.0,0.0,0.0,0.1264,0.8736,0.0,0.0
0.11889193182204685,0.23122112530267683,0.0,0.0,0.0,0.0384,0.9616,0.0,0.0
0.1225045062185803,0.2345493364935343,0.0,0.0,0.0,0.0,0.9596,0.0404,0.0
0.12611708061511376,0.23739099450487838,0.0,0.0,0.0,0.0,0.888,0.112,0.0
0.1297296550116472,0.24023265251622242,0.0,0.0,0.0,0.0,0.8163,0.1837,0.0
0.13334222940818066,0.24307431052756645,0.0,0.0,0.0,0.0,0.7446,0.2554,0.0
0.13695480380471411,0.24591596853891046,0.0,0.0,0.0,0.0,0.673,0.327,0.0
0.14056737820124757,0.24875762655025452,0.0,0.0,0.0,0.0,0.6013,0.3987,0.0
0.14417995259778102,0.2515992845615985,0.0,0.0,0.0,0.0,0.5297,0.4703,0.0
0.14779252699431447,0.2544409425729426,0.0,0.0,0.0,0.0,0.458,0.542,0.0
0.15140510139084792,0.25728260058428665,0.0,0.0,0.0,0.0,0.3864,0.6136,0.0
0.15501767578738138,0.26012425859563065,0.0,0.0,0.0,0.0,0.3147,0.6853,0.0
0.15863025018391483,0.26296591660697477,0.0,0.0,0.0,0.0,0.2431,0.7569,0.0
0.16224282458044828,0.2658075746183187,0.0,0.0,0.0,0.0,0.1714,0.8286,0.0
0.16585539897698173,0.2686492326296628,0.0,0.0,0.0,0.0,0.0998,0.9002,0.0
0.16946797337351518,0.27149089064100684,0.0,0.0,0.0,0.0,0.0281,0.9719,0.0
0.17308054777004864,0.2737485550835377,0.0,0.0,0.0,0.0,0.0,0.9552,0.0448
0.1766931221665821,0.2756292280840077,0.0,0.0,0.0,0.0,0.0,0.8815,0.1185
0.18030569656311554,0.27750990108447765,0.0,0.0,0.0,0.0,0.0,0.8078,0.1922
0.183918270959649,0.27939057408494766,0.0,0.0,0.0,0.0,0.0,0.734,0.266
0.18753084535618245,0.2812712470854177,0.0,0.0,0.0,0.0,0.0,0.6603,0.3397
0.1911434197527159,0.2831519200858877,0.0,0.0,0.0,0.0,0.0,0.5866,0.4134
0.19475599414924935,0.28503259308635776,0.0,0.0,0.0,0.0,0.0,0.5129,0.4871
0.1983685685457828,0.2869132660868277,0.0,0.0,0.0,0.0,0.0,0.4391,0.5609
0.20198114294231626,0.2887939390872978,0.0,0.0,0.0,0.0,0.0,0.3654,0.6346
0.2055937173388497,0.2906746120877678,0.0,0.0,0.0,0.0,0.0,0.2917,0.7083
0.20920629173538316,0.2925552850882378,0.0,0.0,0.0,0.0,0.0,0.218,0.782
0.21281886613191664,0.2944359580887078,0.0,0.0,0.0,0.0,0.0,0.1442,0.8558
0.2164314405284501,0.2963166310891779,0.0,0.0,0.0,0.0,0.0,0.0705,0.9295
0.22004401492498354,0.29811575599151463,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.223656589321517,0.29811575599151463,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.22726916371805045,0.29811575599151463,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2308817381145839,0.29811575599151463,0.0,0.0,0.0,0.0,0.0,0.0,1.0
