id,issue_d,vintage,term_num,grade,sub_grade,fico_range_low,fico_band,purpose,PD_12m,LGD,EAD,EL_12m,EL_rate,monthly_hazard,lifetime_PD,lifetime_EL,event,realized_loss,int_rate,required_rate_logit
100001365,2017-03-01,2017Q1,36.0,C,C3,660.0,660-700 (near-prime),debt_consolidation,0.0706737040161631,0.915423,7615.620000000001,492.7026962915172,0.06469633415158807,0.0060893317656203205,0.19738979379940436,1376.1056531457725,0,0.0,13.99,0.1124042224096978
100001532,2017-03-01,2017Q1,36.0,A,A1,720.0,700-740 (prime),home_improvement,0.024203549389633,0.915423,10535.099999999999,233.4207934768441,0.022156485792906012,0.0020396894191146986,0.07086739148463805,683.450285975977,0,0.0,5.32,0.0845221296337798
100001557,2017-03-01,2017Q1,60.0,C,C3,665.0,660-700 (near-prime),debt_consolidation,0.0667749594385369,0.915423,19060.85,1165.1389384432575,0.06112733369410376,0.005742523829696866,0.2921651894494973,5097.91457078449,0,0.0,13.99,0.1100649756631221
100002096,2017-03-01,2017Q1,36.0,D,D1,660.0,660-700 (near-prime),credit_card,0.0609352566092267,0.915423,7215.0599999999995,402.467124882404,0.05578153541098813,0.005225536869510439,0.17189271236992298,1135.3224649469298,0,0.0,16.99,0.106561153965536
100002651,2017-03-01,2017Q1,60.0,C,C5,660.0,660-700 (near-prime),debt_consolidation,0.0967481055642086,0.915423,6916.37,612.5513594451644,0.08856544103990452,0.008443634872923211,0.39876479083646066,2524.741061349574,0,0.0,15.99,0.1280488633385252
100003354,2017-03-01,2017Q1,36.0,C,C2,675.0,660-700 (near-prime),debt_consolidation,0.0648071628692225,0.915423,1515.42,89.9037576010081,0.05932596745523227,0.0055679849929557435,0.18209377156369122,252.60964335610697,0,0.0,13.49,0.1088842977215335
100003912,2017-03-01,2017Q1,60.0,C,C3,720.0,700-740 (prime),home_improvement,0.0444908801414053,0.915423,19401.260000000002,790.1740316991662,0.04072797497168566,0.0037853981445289397,0.20352126956339467,3614.610940406556,0,0.0,13.99,0.0966945280848432
100005538,2017-03-01,2017Q1,36.0,A,A5,680.0,660-700 (near-prime),home_improvement,0.0701697379511283,0.915423,5186.84,333.1766260320242,0.06423499202443572,0.006044427122016027,0.19608333868407102,931.0336209229492,0,0.0,7.99,0.112101842770677
100005957,2017-03-01,2017Q1,36.0,B,B1,710.0,700-740 (prime),moving,0.0542381840596561,0.915423,5776.67,286.81675570775377,0.04965088116644257,0.004636262684681647,0.15404876718689398,814.6247591314391,0,0.0,8.24,0.1025429104357937
100006185,2017-03-01,2017Q1,36.0,A,A3,725.0,700-740 (prime),debt_consolidation,0.0481353610319155,0.915423,0.0,0.0,0.044064216601919184,0.004102597944800057,0.1375665744071164,0.0,0,0.0,7.24,0.0988812166191493
100006337,2017-03-01,2017Q1,36.0,A,A1,700.0,700-740 (prime),credit_card,0.0383374954810941,0.915423,1474.7399999999998,51.75603735400695,0.0350950251257896,0.0032523427024576668,0.11065954281782431,149.39159065518584,0,0.0,5.32,0.0930024972886564
100006345,2017-03-01,2017Q1,36.0,D,D2,680.0,660-700 (near-prime),debt_consolidation,0.0698836653511408,0.915423,5914.1900000000005,378.3491545577363,0.06397311458673736,0.006018947259468499,0.19534110872586652,1057.5739404257788,0,0.0,17.99,0.1119301992106845
